Id	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
3404096482		0.3	0.1	0.48	0.34	0.31	0.17	0.29	0.3	
4885174706		0.26	0.18	0.27	0.05	0.41	0.32	0.07	0.19	
2541890320		0.44	0.15	0.27	0.59	0.36	0.33	0.18	0.21	
26260537		0.3	0.17	0.2	0.15	0.4	0.23	0.16	0.24	
707894174008401921		0.32	0.11	0.24	0.25	0.65	0.5	0.29	0.27	
134971995		0.61	0.51	0.66	0.51	0.45	0.54	0.46	0.55	
749305632600141824		0.47	0.33	0.3	0.19	0.23	0.26	0.16	0.26	
4396918036		0.39	0.26	0.2	0.41	0.36	0.52	0.36	0.35	
785558681521758208		0.5	0.39	0.59	0.46	0.47	0.45	0.53	0.5	
129019194		0.51	0.51	0.5	0.45	0.5	0.31	0.17	0.53	
2844479116		0.37	0.14	0.68	0.59	0.37	0.44	0.29	0.4	
725124041024110592		0.25	0.42	0.34	0.36	0.08	0.24	0.15	0.32	
32500911		0.35	0.31	0.793147133651	0.1	0.91	0.7	0.82	0.11	
872786449		0.28	0.28	0.26	0.33	0.48	0.52	0.51	0.36	
787499324481662984		0.54	0.59	0.39	0.62159018759	0.81	0.78	0.69	0.42	
758694916268564481		0.4	0.23	0.54	0.34	0.36	0.23	0.22	0.27	
484285034		0.42	0.19	0.7	0.768	0.58	0.55	0.77	0.34	
124490608		0.33	0.16	0.31	0.14	0.35	0.15	0.13	0.25	
307314831		0.32	0.14	0.21	0.34	0.29	0.22	0.28	0.23	
1020763850		0.27	0.44	0.39	0.12	0.32	0.33	0.16	0.43	
1449444157		0.41	0.43	0.52	0.15	0.47	0.38	0.62	0.41	
788524		0.51	0.37	0.43	0.51	0.48	0.63	0.48	0.47	
37238438		0.28	0.27	0.44	0.26	0.7	0.42	0.11	0.23	
3038933527		0.39	0.35	0.64	0.5	0.34	0.26	0.29	0.54	
713383887754235905		0.38	0.43	0.46	0.31	0.16	0.42	0.29	0.38	
721737068322271232		0.55	0.59	0.6	0.46	0.4	0.32	0.42	0.61	
757935625114783746		0.17	0.36	0.25	0.17	0.22	0.45	0.19	0.35	
4188415121		0.23	0.2	0.28	0.32	0.26	0.3	0.19	0.19	
747831888769736705		0.5	0.08	0.56	0.06	0.73	0.413333333333	0.22	0.35	
26329311		0.39	0.08	0.53	0.2	0.53	0.46	0.33	0.16	
705435690021027841		0.34	0.4	0.37	0.44	0.44	0.34	0.1	0.32	
43052896		0.5	0.52	0.19	0.31	0.42	0.3	0.42	0.54	
108471631		0.44	0.37	0.49	0.46	0.5	0.4	0.51	0.53	
575727529		0.24	0.08	0.13	0.36	0.28	0.07	0.12	0.2	
1549532077		0.43	0.34	0.27	0.48	0.46	0.21	0.07	0.31	
21111896		0.42	0.37	0.37	0.28	0.47	0.14	0.11	0.31	
1488495162		0.39	0.37	0.4	0.33	0.42	0.28	0.31	0.4	
1652541		0.41	0.43	0.46	0.36	0.6	0.27	0.28	0.39	
817882305549242369		0.26	0.15	0.41	0.26	0.4	0.38	0.22	0.21	
25723570		0.5	0.16	0.46	0.61	0.59	0.57	0.26	0.46	
32918169		0.59	0.45	0.57	0.25	0.45	0.21	0.22	0.38	
764287646990475264		0.4	0.04	0.41	0.46	0.59	0.25	0.16	0.38	
1885772240		0.42	0.2	0.11	0.18	0.5	0.25	0.18	0.2	
