Id	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
2417844248		0.64	0.66	0.52	0.61	0.58	0.35	0.08	0.66	
34930886		0.3	0.39	0.28	0.49	0.48	0.47	0.24	0.32	
2149994774		0.25	0.02	0.4	0.2	0.3	0.21	0.3	0.25	
80363721		0.21	0.05	0.28	0.44	0.44	0.52	0.34	0.21	
21424216		0.5	0.5	0.23	0.47	0.46	0.42	0.36	0.44	
3438116309		0.39	0.18	0.33	0.17	0.38	0.1	0.08	0.23	
35773039		0.42	0.32	0.35	0.24	0.48	0.21	0.46	0.34	
2667514699		0.33	0.07	0.58	0.19	0.35	0.35	0.08	0.33	
18771382		0.35	0.26	0.25	0.1	0.44	0.26	0.25	0.19	
738721186826178563		0.53	0.34	0.45	0.56	0.61	0.18	0.44	0.47	
2477247030		0.4	0.15	0.32	0.22	0.34	0.08	0.22	0.3	
42318346		0.36	0.17	0.29	0.36	0.44	0.13	0.07	0.22	
236089410		0.45	0.76	0.32	0.14	0.46	0.23	0.19	0.46	
784410571638657024		0.45	0.42	0.42	0.36	0.45	0.45	0.34	0.33	
386714260		0.18	0.06	0.16	0.2	0.38	0.22	0.17	0.18	
15250162		0.42	0.23	0.42	0.28	0.51	0.32	0.12	0.41	
126145604		0.3	0.22	0.21	0.34	0.33	0.17	0.07	0.19	
72325404		0.18	0.13	0.27	0.15	0.3	0.31	0.25	0.2	
1945668452		0.2	0.25	0.18	0.14	0.51	0.31	0.18	0.23	
97492736		0.29	0.26	0.23	0.4	0.45	0.25	0.25	0.28	
4835421670		0.43	0.41	0.22	0.5	0.57	0.21	0.27	0.41	
88550047		0.46	0.62	0.32	0.41	0.41	0.3175	0.11	0.56	
409354503		0.44	0.12	0.44	0.27	0.47	0.62	0.57	0.34	
1957741681		0.42	0.11	0.23	0.6	0.42	0.44	0.25	0.21	
202750031		0.47	0.36	0.63	0.55	0.44	0.63	0.33	0.42	
703332764733538304		0.27	0.25	0.42	0.35	0.48	0.3	0.25	0.36	
94818581		0.52	0.51	0.43	0.47	0.24	0.25	0.27	0.53	
2423655841		0.44	0.2	0.39	0.49	0.51	0.57	0.66	0.31	
340786611		0.42	0.12	0.64	0.4	0.38	0.38	0.16	0.55	
117830399		0.32	0.12	0.21	0.36	0.3	0.29	0.28	0.19	
15012486		0.49	0.26	0.63	0.51	0.7	0.44	0.31	0.4	
7313362		0.49	0.26	0.36	0.48	0.62	0.37	0.21	0.26	
27114485		0.36	0.24	0.31	0.4	0.28	0.28	0.21	0.32	
393382745		0.24	0.04	0.33	0.26	0.4	0.35	0.14	0.25	
1036513381		0.43	0.15	0.27	0.26	0.52	0.46	0.42	0.28	
63291287		0.36	0.28	0.23	0.31	0.33	0.14	0.45	0.35	
769217927614697472		0.53	0.62	0.53	0.36	0.32	0.33	0.43	0.57	
717067248284729344		0.32	0.21	0.29	0.37	0.35	0.38	0.29	0.31	
130203314		0.36	0.04	0.3	0.16	0.44	0.13	0.21	0.25	
966852380		0.22	0.21	0.29	0.31	0.43	0.39	0.2	0.22	
2887465954		0.41	0.62	0.34	0.58	0.48	0.3	0.27	0.53	
2884771		0.49	0.46	0.63	0.39	0.63	0.42	0.38	0.34	
4748579370		0.33	0.05	0.26	0.27	0.72	0.44	0.27	0.16	
930881228		0.28	0.27	0.31	0.55	0.38	0.25	0.12	0.28	
214998879		0.37	0.25	0.45	0.4	0.52	0.4	0.48	0.37	
708458185494040576		0.56	0.52	0.68	0.48	0.48	0.52	0.44	0.48	
229896432		0.52	0.23	0.71	0.4	0.85	0.66	0.86	0.3	
760250728162078724		0.39	0.3	0.45	0.23	0.41	0.43	0.24	0.26	
15164565		0.44	0.4	0.53	0.42	0.53	0.46	0.13	0.41	
30739842		0.47	0.43	0.2	0.4	0.31	0.12	0.3	0.41	
720471341233790976		0.53	0.45	0.64	0.48	0.58	0.54	0.59	0.47	
533400318		0.27	0.13	0.41	0.15	0.34	0.32	0.29	0.23	
2750111498		0.41	0.17	0.15	0.28	0.45	0.35	0.32	0.25	
1682127457		0.36	0.14	0.26	0.15	0.34	0.39	0.19	0.2	
2608484690		0.57	0.32	0.59	0.62	0.48	0.39	0.3	0.44	
16012783		0.42	0.28	0.55	0.32	0.51	0.21	0.23	0.43	
363281861		0.54	0.35	0.521867812988	0.5	0.66	0.8	0.615	0.405	
759391480939249664		0.28	0.32	0.39	0.14	0.4	0.24	0.22	0.22	
1332367184		0.41	0.34	0.23	0.65	0.39	0.27	0.42	0.3	
357090691		0.48	0.24	0.54	0.46	0.4	0.48	0.11	0.54	
525726943		0.32	0.41	0.38	0.41	0.57	0.24	0.21	0.37	
750134272661467136		0.48	0.56	0.27	0.44	0.73	0.87	0.71	0.25	
19211550		0.34	0.31	0.34	0.2	0.49	0.35	0.32	0.39	
159583068		0.22	0.03	0.24	0.19	0.52	0.38	0.32	0.19	
3221357514		0.47	0.55	0.4	0.63	0.51	0.14	0.27	0.34	
772459109681471488		0.33	0.18	0.42	0.27	0.46	0.46	0.27	0.18	
365110972		0.28	0.07	0.37	0.35	0.52	0.46	0.07	0.24	
14377605		0.49	0.38	0.41	0.46	0.51	0.53	0.09	0.35	
405617871		0.13	0.05	0.35	0.12	0.32	0.29	0.18	0.15	
2351061389		0.44	0.38	0.46	0.29	0.56	0.48	0.41	0.43	
763941016470589440		0.25	0.08	0.27	0.12	0.33	0.43	0.46	0.21	
201817316		0.19	0.02	0.09	0.02	0.24	0.11	0.14	0.09	
443790460		0.21	0.13	0.09	0.09	0.49	0.05	0.15	0.09	
64637578		0.17	0.12	0.26	0.14	0.31	0.29	0.32	0.11	
3312926479		0.34	0.2	0.33	0.38	0.31	0.22	0.19	0.51	
3065327994		0.22	0.07	0.34	0.17	0.41	0.34	0.43	0.28	
3450394820		0.3	0.27	0.29	0.3	0.36	0.32	0.21	0.31	
14800149		0.31	0.13	0.09	0.2	0.48	0.23	0.32	0.07	
3184671876		0.3	0.09	0.14	0.14	0.41	0.35	0.11	0.12	
23840242		0.51	0.29	0.39	0.5	0.47	0.33	0.19	0.35	
15992392		0.27	0.12	0.34	0.34	0.31	0.26	0.39	0.17	
782310190431346688		0.3	0.1	0.42	0.19	0.29	0.47	0.12	0.21	
3766254975		0.41	0.29	0.6	0.3	0.55	0.34	0.16	0.42	
741883365599547393		0.25	0.04	0.23	0.37	0.42	0.29	0.07	0.13	
24702075		0.65	0.25	0.5	0.17	0.53	0.29	0.16	0.54	
1035115242		0.45	0.19	0.56	0.21	0.29	0.39	0.21	0.58	
169203819		0.5	0.38	0.55	0.49	0.48	0.29	0.19	0.37	
64006605		0.32	0.18	0.47	0.11	0.47	0.24	0.16	0.2	
4883801255		0.45	0.58	0.27	0.5	0.47	0.37	0.56	0.45	
2975367351		0.28	0.19	0.34	0.46	0.43	0.46	0.42	0.21	
22322251		0.13	0.07	0.14	0.36	0.3	0.19	0.23	0.12	
246155011		0.25	0.04	0.33	0.24	0.25	0.19	0.24	0.18	
158200959		0.21	0.28	0.2	0.35	0.49	0.2	0.09	0.11	
429227921		0.5	0.5	0.55	0.39	0.38	0.24	0.43	0.48	
1308707533		0.67	0.82	0.41	0.56	0.67	0.48	0.88	0.57	
787836847162531842		0.49	0.31	0.32	0.34	0.42	0.31	0.12	0.38	
132918716		0.53	0.52	0.4	0.25	0.51	0.53	0.06	0.54	
940368062		0.45	0.68	0.43	0.52	0.32	0.09	0.37	0.43	
200205177		0.44	0.39	0.62	0.51	0.55	0.64	0.5	0.54	
138388479		0.43	0.24	0.41	0.21	0.48	0.38	0.21	0.34	
1367531		0.47	0.31	0.33	0.57	0.68	0.38	0.33	0.35	
739852455739957253		0.47	0.3	0.43	0.41	0.49	0.37	0.36	0.35	
813970778282725377		0.25	0.1	0.34	0.3	0.35	0.36	0.32	0.18	
14549541		0.2	0.09	0.39	0.18	0.24	0.34	0.35	0.14	
1071777608		0.51	0.3	0.64	0.53	0.56	0.28	0.36	0.52	
279217447		0.22	0.15	0.33	0.28	0.35	0.44	0.23	0.27	
3002000970		0.37	0.31	0.28	0.4	0.45	0.18	0.34	0.34	
314722934		0.33	0.04	0.24	0.26	0.41	0.28	0.12	0.17	
4301396186		0.4	0.24	0.33	0.45	0.48	0.59	0.43	0.35	
17642747		0.49	0.4	0.52	0.24	0.45	0.32	0.27	0.34	
67418441		0.4	0.46	0.36	0.48	0.54	0.59	0.23	0.49	
19951176		0.55	0.28	0.61	0.15	0.47	0.31	0.17	0.57	
63243592		0.41	0.62	0.43	0.34	0.45	0.43	0.16	0.4	
4749697212		0.5	0.85	0.36	0.3	0.41	0.41	0.24	0.55	
767430413258153984		0.34	0.35	0.4	0.56	0.29	0.623333333333	0.37	0.36	
237283136		0.15	0.08	0.2	0.11	0.24	0.11	0.15	0.14	
35218566		0.45	0.35	0.41	0.24	0.35	0.23	0.14	0.25	
286374555		0.17	0.03	0.23	0.17	0.37	0.37	0.18	0.11	
66837106		0.15	0.1	0.33	0.24	0.46	0.49	0.23	0.26	
476193064		0.63	0.33776744186	0.63	0.35	0.58	0.5	0.31	0.54	
2213157290		0.38	0.3	0.34	0.33	0.35	0.39	0.29	0.36	
781250109556289536		0.39	0.28	0.49	0.29	0.47	0.36	0.19	0.37	
2484544347		0.44	0.59	0.53	0.46	0.47	0.51	0.52	0.51	
28785486		0.44	0.33	0.43	0.62	0.52	0.62	0.43	0.41	
36665547		0.5	0.32	0.51	0.62	0.58	0.56	0.33	0.43	
2396020078		0.36	0.22	0.31	0.22	0.49	0.18	0.14	0.32	
249458442		0.27	0.21	0.11	0.26	0.61	0.234	0.2	0.22	
99046424		0.61	0.29	0.74	0.55	0.47	0.58	0.59	0.53	
707903614849830912		0.35	0.3	0.26	0.46	0.52	0.47	0.16	0.3	
2284006204		0.38	0.27	0.22	0.48	0.62	0.53	0.47	0.43	
34822048		0.33	0.26	0.23	0.4	0.5	0.21	0.3	0.32	
1953192330		0.53	0.29	0.45	0.37	0.25	0.59	0.62	0.4	
118056668		0.43	0.46	0.48	0.53	0.69	0.8	0.61	0.27	
747906100905680896		0.41	0.05	0.69	0.12	0.35	0.38	0.18	0.46	
4496706159		0.33	0.41	0.35	0.58	0.17	0.42	0.17	0.22	
4896177359		0.24	0.24	0.28	0.23	0.32	0.28	0.12	0.25	
127175879		0.33	0.09	0.36	0.17	0.63	0.36	0.29	0.2	
2350568316		0.5	0.47	0.72	0.74	0.53	0.56	0.4	0.45	
253213841		0.54	0.03	0.54	0.36	0.52	0.51	0.59	0.16	
805241216		0.37	0.44	0.24	0.43	0.56	0.23	0.29	0.35	
91010436		0.38	0.4	0.38	0.52	0.46	0.56	0.48	0.28	
1610022938		0.32	0.12	0.29	0.17	0.45	0.22	0.25	0.3	
3908344585		0.46	0.43	0.28	0.55	0.44	0.26	0.25	0.24	
751552860303683584		0.45	0.3	0.27	0.44	0.5	0.42	0.26	0.27	
430084739		0.33	0.05	0.25	0.27	0.4	0.26	0.11	0.24	
874859443		0.34	0.29	0.41	0.34	0.33	0.45	0.46	0.36	
73103223		0.29	0.11	0.24	0.25	0.36	0.22	0.21	0.19	
2795458499		0.2	0.03	0.11	0.07	0.16	0.14	0.15	0.1	
441376916		0.58	0.48	0.793147133651	0.69	0.88	0.89	0.68	0.39	
1314250814		0.35	0.09	0.28	0.32	0.4	0.27	0.22	0.33	
61231226		0.67	0.14	0.793147133651	0.826153846154	0.78	0.77	0.56	0.55	
355712809		0.48	0.22	0.42	0.4	0.52	0.75	0.17	0.36	
816648793		0.21	0.12	0.29	0.1	0.32	0.36	0.31	0.19	
482351928		0.18	0.09	0.33	0.15	0.38	0.31	0.38	0.17	
251457973		0.36	0.17	0.32	0.36	0.52	0.32	0.13	0.28	
3517835113		0.35	0.2	0.3	0.33	0.44	0.41	0.1	0.25	
4105765714		0.47	0.64	0.28	0.3	0.42	0.33	0.41	0.5	
60426701		0.54	0.39	0.51	0.35	0.57	0.31	0.2	0.5	
59331128		0.45	0.43	0.37	0.24	0.4	0.25	0.16	0.35	
205425209		0.57	0.51	0.53	0.29	0.3	0.48	0.25	0.58	
270973788		0.33	0.12	0.3	0.48	0.42	0.39	0.31	0.25	
421611727		0.26	0.14	0.26	0.21	0.27	0.12	0.28	0.21	
335868637		0.21	0.06	0.26	0.15	0.44	0.27	0.04	0.15	
796964364209233920		0.3	0.27	0.33	0.19	0.6	0.39	0.07	0.23	
784523868694253569		0.45	0.58	0.41	0.41	0.43	0.26	0.39	0.47	
761957700297195520		0.46	0.34	0.58	0.37	0.43	0.38	0.54	0.48	
283596167		0.37	0.17	0.15	0.1	0.54	0.05	0.11	0.12	
763389892059463680		0.65	0.58	0.52	0.928820512821	0.86	0.8	0.89	0.54	
4797380067		0.4	0.35	0.15	0.22	0.3275	0.12	0.22	0.25	
38947867		0.5	0.2	0.53	0.39	0.48	0.24	0.26	0.51	
28358777		0.19	0.09	0.33	0.34	0.3	0.29	0.405	0.19	
3269474665		0.29	0.08	0.44	0.32	0.53	0.41	0.2	0.12	
193160214		0.32	0.3	0.28	0.56	0.5	0.19	0.13	0.39	
792858787430273024		0.28	0.14	0.31	0.52	0.43	0.54	0.33	0.3	
136284056		0.22	0.07	0.27	0.49	0.34	0.22	0.13	0.19	
70308625		0.4	0.13	0.35	0.34	0.53	0.55	0.4	0.3	
2878502178		0.39	0.22	0.29	0.18	0.37	0.29	0.3	0.32	
3300814913		0.34	0.26	0.43	0.3	0.4	0.39	0.21	0.38	
48552092		0.5	0.13	0.6	0.41	0.68	0.7	0.73	0.32	
1911043860		0.44	0.45	0.34	0.61	0.41	0.59	0.45	0.35	
41427918		0.44	0.12	0.44	0.17	0.59	0.38	0.22	0.23	
334784172		0.28	0.1	0.33	0.29	0.37	0.27	0.23	0.28	
70874746		0.24	0.27	0.41	0.25	0.5	0.5	0.66	0.33	
701539075208011776		0.51	0.36	0.4	0.26	0.4	0.31	0.46	0.35	
146659588		0.27	0.14	0.29	0.15	0.37	0.31	0.17	0.21	
159122016		0.24	0.17	0.21	0.1	0.16	0.32	0.1	0.14	
211334140		0.16	0.01	0.19	0.15	0.32	0.37	0.09	0.11	
374331041		0.43	0.62	0.29	0.49	0.42	0.34	0.28	0.44	
787011646539661320		0.35	0.2	0.35	0.12	0.35	0.37	0.16	0.25	
26089178		0.52	0.48	0.45	0.44	0.32	0.194	0.27	0.52	
347025569		0.5	0.43	0.47	0.42	0.68	0.55	0.81	0.49	
27744185		0.5	0.47776744186	0.54	0.53	0.42	0.36	0.65	0.56	
28269648		0.17	0.14	0.29	0.19	0.39	0.35	0.16	0.2	
556247745		0.26	0.03	0.34	0.34	0.36	0.16	0.11	0.21	
41144449		0.56	0.4	0.63	0.5	0.49	0.21	0.17	0.48	
2459340000		0.66	0.51	0.66	0.09	0.77	0.6	0.65	0.53	
20776147		0.39	0.47	0.38	0.51	0.43	0.16	0.51	0.41	
765897068439306240		0.23	0.04	0.33	0.14	0.36	0.13	0.21	0.14	
252596668		0.3	0.33	0.51	0.62	0.77	0.82	0.35	0.24	
42656372		0.51	0.31	0.54	0.51	0.51	0.62	0.62	0.53	
1404014400		0.41	0.67	0.29	0.5	0.31	0.23	0.03	0.42	
2313204826		0.54	0.5	0.47	0.1	0.42	0.34	0.3	0.3	
590441926		0.21	0.46	0.3	0.11	0.16	0.23	0.22	0.24	
72089435		0.2	0.15	0.17	0.3	0.37	0.42	0.1	0.12	
4530555202		0.54	0.48	0.6	0.12	0.41	0.52	0.41	0.47	
738509183952113664		0.44	0.41	0.33	0.38	0.38	0.45	0.38	0.34	
2295011677		0.31	0.28	0.42	0.16	0.45	0.32	0.16	0.35	
822236245		0.34	0.15	0.26	0.19	0.62	0.58	0.38	0.37	
56413858		0.57	0.21	0.45	0.32	0.69	0.3	0.37	0.45	
743923398		0.37	0.02	0.4	0.15	0.47	0.32	0.24	0.24	
167924087		0.4	0.54	0.17	0.4	0.4	0.14	0.22	0.48	
467221718		0.23	0.0	0.35	0.3	0.59	0.45	0.34	0.26	
3553395493		0.27	0.11	0.32	0.19	0.3	0.47	0.26	0.27	
209990420		0.29	0.14	0.23	0.23	0.41	0.24	0.16	0.24	
711667732656168960		0.47	0.55	0.41	0.52	0.52	0.51	0.6	0.43	
706189937528303616		0.24	0.13	0.26	0.38	0.37	0.36	0.35	0.28	
579957669		0.67	0.74	0.59	0.19	0.53	0.65	0.53	0.6	
793194936267145216		0.39	0.2	0.22	0.35	0.38	0.22	0.14	0.26	
85131054		0.3	0.3	0.41	0.29	0.41	0.32	0.25	0.45	
81188804		0.79	0.68	0.793147133651	0.52	0.83	0.78	0.7125	0.78	
707771806480924672		0.27	0.15	0.23	0.43	0.45	0.22	0.19	0.36	
318136173		0.53	0.32	0.53	0.49	0.41	0.43	0.29	0.48	
526967433		0.52	0.53	0.32	0.19	0.47	0.19	0.04	0.36	
3673801346		0.48	0.43	0.59	0.58	0.46	0.57	0.32	0.51	
388027679		0.35	0.2	0.22	0.27	0.37	0.3	0.2	0.28	
772651829565923328		0.31	0.28	0.5	0.34	0.36	0.44	0.2	0.3	
1637977830		0.63	0.64	0.65	0.69	0.57	0.66	0.49	0.47	
715273665823293442		0.63	0.61	0.43	0.52	0.62	0.59	0.47	0.52	
14669951		0.4	0.27776744186	0.48	0.48	0.52	0.5	0.17	0.22	
473777801		0.12	0.01	0.14	0.13	0.3	0.33	0.21	0.1	
22089153		0.28	0.19	0.26	0.26	0.37	0.24	0.09	0.24	
4224245248		0.38	0.37	0.53	0.17	0.31	0.18	0.17	0.3	
68889823		0.28	0.37	0.32	0.46	0.44	0.25	0.17	0.35	
178005137		0.28	0.1	0.33	0.2	0.36	0.41	0.35	0.28	
15441965		0.38	0.67	0.4	0.36	0.58	0.21	0.23	0.39	
780583961957314560		0.32	0.29	0.19	0.37	0.45	0.29	0.2	0.26	
2330881664		0.45	0.32	0.43	0.46	0.5	0.39	0.44	0.4	
281551999		0.45	0.27	0.45	0.3	0.41	0.21	0.22	0.36	
279234400		0.26	0.14	0.33	0.39	0.32	0.19	0.33	0.31	
19426551		0.4	0.46	0.38	0.5	0.44	0.36	0.38	0.34	
27274942		0.43	0.25	0.55	0.26	0.34	0.29	0.33	0.47	
7587032		0.41	0.33	0.26	0.37	0.57	0.26	0.24	0.34	
31999788		0.31	0.12	0.31	0.58	0.44	0.19	0.27	0.37	
3310728566		0.36	0.18	0.4	0.18	0.56	0.815	0.78	0.29	
150653567		0.21	0.19	0.35	0.52	0.4	0.29	0.22	0.45	
27437359		0.4	0.27	0.33	0.27	0.31	0.2	0.27	0.36	
824157		0.42	0.59	0.38	0.34	0.31	0.12	0.19	0.35	
2151831962		0.39	0.12	0.26	0.71	0.51	0.3	0.07	0.35	
81701049		0.35	0.23	0.52	0.04	0.46	0.56	0.56	0.27	
1865621094		0.53	0.38	0.34	0.54	0.49	0.35	0.3	0.42	
265500719		0.25	0.06	0.19	0.44	0.31	0.2	0.18	0.23	
1548183698		0.46	0.64	0.24	0.39	0.43	0.34	0.34	0.45	
32497478		0.42	0.61	0.37	0.34	0.29	0.26	0.22	0.51	
885721369		0.44	0.59	0.21	0.34	0.31	0.14	0.1	0.43	
23857408		0.27	0.15	0.49	0.21	0.69	0.34	0.41	0.26	
476252416		0.24	0.05	0.29	0.13	0.36	0.4	0.32	0.2	
25907240		0.3	0.11	0.31	0.15	0.67	0.47	0.1	0.18	
1310305866		0.41	0.21	0.22	0.2	0.51	0.27	0.16	0.31	
304278655		0.3	0.11	0.4	0.23	0.45	0.06	0.39	0.3	
1183139779		0.36	0.18	0.23	0.47	0.46	0.51	0.29	0.4	
15195539		0.3	0.11	0.3	0.25	0.19	0.23	0.18	0.23	
2821881229		0.32	0.26	0.45	0.23	0.43	0.35	0.34	0.23	
14667128		0.29	0.14	0.31	0.32	0.44	0.26	0.21	0.29	
712340223590420480		0.44	0.3	0.82	0.54	0.45	0.41	0.44	0.48	
781158305712500737		0.31	0.24	0.27	0.28	0.52	0.28	0.16	0.25	
2440607372		0.37	0.09	0.22	0.6	0.35	0.12	0.53	0.33	
132339474		0.61	0.36	0.58	0.21	0.51	0.66	0.27	0.48	
3313075368		0.44	0.45	0.53	0.46	0.41	0.47	0.51	0.48	
767211983183544320		0.5	0.42	0.34	0.41	0.53	0.5	0.43	0.47	
89761143		0.14	0.13	0.31	0.42	0.24	0.42	0.12	0.21	
2273534167		0.42	0.25	0.49	0.53	0.4	0.46	0.37	0.34	
4851185832		0.35	0.09	0.35	0.25	0.43	0.26	0.16	0.19	
2312902755		0.61	0.35	0.64	0.24	0.46	0.17	0.19	0.52	
2927282011		0.27	0.11	0.39	0.27	0.45	0.22	0.27	0.19	
403211452		0.4	0.18	0.41	0.13	0.41	0.32	0.19	0.38	
134600007		0.25	0.04	0.25	0.3	0.47	0.22	0.18	0.21	
702307014		0.71	0.6	0.8	0.44	0.58	0.63	0.73	0.68	
21976456		0.49	0.48	0.32	0.46	0.33	0.22	0.42	0.32	
1710236952		0.24	0.02	0.21	0.25	0.42	0.22	0.28	0.24	
466135293		0.15	0.06	0.36	0.15	0.33	0.19	0.25	0.18	
742143		0.42	0.31	0.54	0.37	0.46	0.21	0.3	0.43	
920219473		0.29	0.17	0.32	0.14	0.32	0.18	0.22	0.2	
15458694		0.65	0.74	0.53	0.4	0.62	0.42	0.27	0.55	
3017581041		0.45	0.33	0.36	0.58	0.43	0.36	0.29	0.41	
345402650		0.3	0.1	0.32	0.17	0.38	0.3	0.38	0.3	
108751302		0.28	0.33	0.29	0.59	0.4	0.3	0.26	0.33	
67891277		0.34	0.22	0.29	0.3	0.55	0.31	0.09	0.26	
3380533895		0.32	0.24	0.26	0.28	0.45	0.43	0.16	0.26	
3631556593		0.23	0.04	0.38	0.33	0.4	0.42	0.15	0.29	
67769151		0.33	0.12	0.26	0.36	0.36	0.12	0.27	0.21	
123736818		0.39	0.08	0.39	0.18	0.36	0.28	0.25	0.4	
2998441830		0.49	0.36	0.41	0.16	0.52	0.43	0.34	0.42	
580097412		0.54	0.38776744186	0.31	0.28	0.3	0.24	0.28	0.4	
916084236		0.37	0.26	0.23	0.43	0.53	0.39	0.2	0.23	
39344374		0.45	0.44	0.34	0.44	0.26	0.12	0.2	0.38	
365168112		0.34	0.32	0.31	0.3	0.49	0.27	0.18	0.23	
706886124615020544		0.35	0.47	0.19	0.47	0.64	0.71	0.71	0.31	
15281435		0.45	0.26	0.33	0.43	0.61	0.43	0.19	0.28	
714804963495444480		0.26	0.03	0.24	0.11	0.57	0.09	0.16	0.14	
41919763		0.3	0.18	0.32	0.25	0.53	0.32	0.3	0.24	
704303044662439936		0.37	0.08	0.29	0.56	0.44	0.24	0.13	0.24	
88458875		0.51	0.44	0.43	0.45	0.45	0.26	0.32	0.44	
10228272		0.53	0.45	0.49	0.68	0.51	0.36	0.35	0.39	
16129920		0.54	0.41	0.45	0.47	0.48	0.24	0.29	0.65	
19805053		0.25	0.06	0.33	0.17	0.55	0.27	0.07	0.22	
184997953		0.37	0.24	0.37	0.19	0.34	0.36	0.2	0.35	
167072281		0.24	0.12	0.2	0.27	0.43	0.24	0.17	0.18	
91180720		0.45	0.24	0.43	0.24	0.45	0.22	0.43	0.37	
2575751606		0.55	0.42	0.57	0.45	0.89	0.81	0.74	0.4	
4637069357		0.33	0.3	0.19	0.29	0.38	0.26	0.04	0.37	
745065610250444809		0.34	0.2	0.22	0.38	0.55	0.5	0.51	0.31	
15276283		0.36	0.25	0.26	0.13	0.45	0.16	0.25	0.27	
1565520805		0.47	0.26	0.3	0.46	0.42	0.25	0.3	0.31	
782205740651909120		0.42	0.35	0.22	0.42	0.45	0.38	0.08	0.26	
801168552		0.42	0.14	0.42	0.26	0.4	0.36	0.18	0.34	
16326882		0.41	0.31	0.37	0.23	0.19	0.19	0.26	0.35	
3117682243		0.26	0.24	0.33	0.21	0.33	0.4	0.44	0.2	
384906278		0.26	0.16	0.23	0.43	0.35	0.3	0.48	0.31	
732980827		0.44	0.65	0.37	0.37	0.38	0.35	0.21	0.51	
780398943452618752		0.24	0.04	0.24	0.25	0.27	0.45	0.08	0.19	
17112868		0.66	0.76	0.51	0.46	0.67	0.71	0.57	0.55	
251878368		0.17	0.04	0.19	0.14	0.2	0.14	0.2	0.13	
2312876293		0.36	0.1	0.3	0.1	0.53	0.19	0.27	0.22	
83312898		0.27	0.73	0.24	0.25	0.36	0.18	0.27	0.44	
2545326607		0.36	0.24	0.43	0.26	0.43	0.2	0.47	0.29	
1697365488		0.6	0.73	0.22	0.23	0.63	0.61	0.13	0.6	
556111870		0.16	0.13	0.18	0.21	0.33	0.31	0.23	0.17	
747803951492374528		0.22	0.08	0.22	0.11	0.32	0.26	0.15	0.2	
3248349859		0.27	0.33	0.17	0.28	0.3	0.26	0.03	0.31	
228118184		0.35	0.21	0.28	0.43	0.52	0.31	0.44	0.35	
162841137		0.28	0.09	0.16	0.29	0.35	0.36	0.12	0.18	
120234291		0.43	0.07	0.24	0.47	0.58	0.41	0.22	0.38	
79846109		0.29	0.12	0.39	0.13	0.32	0.285	0.21	0.25	
2230256263		0.35	0.13	0.36	0.24	0.5	0.33	0.34	0.35	
712905185778135042		0.29	0.25	0.34	0.11	0.57	0.25	0.05	0.2	
503585510		0.47	0.33	0.39	0.37	0.61	0.37	0.16	0.5	
297532865		0.47	0.46	0.39	0.53	0.48	0.42	0.31	0.49	
786625037151277056		0.33	0.49	0.32	0.31	0.41	0.38	0.35	0.28	
60785401		0.4	0.4	0.2	0.17	0.36	0.21	0.48	0.36	
210643324		0.36	0.31	0.4	0.4	0.46	0.37	0.33	0.37	
577542778		0.36	0.16	0.25	0.35	0.55	0.4	0.06	0.37	
3360131914		0.54	0.71	0.6	0.28	0.54	0.28	0.25	0.65	
822215679726100480		0.61	0.56	0.54	0.49	0.43	0.4	0.39	0.4	
797704698992029696		0.36	0.29	0.28	0.27	0.41	0.24	0.14	0.29	
48428789		0.23	0.07	0.2	0.15	0.45	0.28	0.17	0.18	
926991108		0.26	0.2	0.42	0.19	0.25	0.27	0.17	0.3	
3192605996		0.4	0.37	0.46	0.42	0.39	0.13	0.39	0.52	
198414791		0.33	0.0	0.4	0.32	0.58	0.69	0.2	0.18	
66888939		0.29	0.26	0.26	0.37	0.36	0.39	0.13	0.16	
3284259378		0.35	0.29	0.35	0.33	0.56	0.56	0.34	0.29	
922442124		0.57	0.33	0.51	0.68	0.293333333333	0.27	0.29	0.52	
152720466		0.35	0.03	0.14	0.21	0.44	0.22	0.25	0.22	
73303753		0.52	0.26	0.55	0.51	0.78	0.52	0.41	0.6	
811038191494918144		0.39	0.42	0.5	0.42	0.39	0.37	0.17	0.36	
784808665509457921		0.28	0.32	0.36	0.31	0.42	0.3	0.34	0.32	
2976801226		0.38	0.46	0.18	0.56	0.71	0.52	0.5	0.38	
2440059511		0.34	0.25	0.44	0.29	0.27	0.32	0.39	0.39	
3305807583		0.49	0.3	0.63	0.33	0.45	0.42	0.32	0.47	
245842445		0.17	0.07	0.34	0.25	0.29	0.18	0.02	0.2	
4611892647		0.25	0.44	0.31	0.35	0.25	0.37	0.26	0.3	
20710399		0.22	0.09	0.26	0.27	0.2	0.12	0.13	0.21	
19568591		0.36	0.28	0.57	0.21	0.35	0.34	0.16	0.38	
4431568114		0.23	0.11	0.25	0.13	0.36	0.16	0.18	0.3	
2386014535		0.42	0.56	0.26	0.25	0.31	0.16	0.16	0.45	
151585739		0.38	0.1	0.38	0.44	0.53	0.33	0.4	0.19	
725009083		0.3	0.21	0.12	0.13	0.45	0.15	0.17	0.25	
3914229792		0.31	0.65	0.29	0.26	0.32	0.17	0.16	0.3	
3399692344		0.42	0.22	0.25	0.45	0.49	0.32	0.28	0.36	
33410754		0.44	0.54	0.28	0.48	0.48	0.47	0.27	0.43	
