id,label,1
702271358118600705,AstroBuzz,-1.0
1336708158,pointshoot88,-1.0
2352611904,dilettante1953,-1.0
801657973,KathyLittle18,-1.0
706244489464123392,carlajo1947,-1.0
757697650095382528,kayj214,0.37
791365039320027136,NEWSWARS2,0.4
3734138669,montalbatexas,-1.0
3723496512,betteranfiction,0.43
2400702406,CVresics,-1.0
19423796,MarathonerNYC,-1.0
42741327,ukloner,0.32
37466254,suthurnrocker,0.21
506838025,itsinthahole,0.43
252738982,hiparnold,0.3
16572515,motherjonesrn,0.33
739064956453150721,fergusondiane08,0.3
2271057959,Y____________e,0.43
97669212,gnujon,0.23
547946524,PtbutlerP,0.45
196331731,anotherkevin,0.17
2888722614,FrDaveMarcotte,0.23
168547637,TheRogueTroopa,0.52
27433174,4divots,0.44
733638588714352640,SimbaMaple,0.28
711683486713843713,MarkMarkseager1,0.49
1656289886,Shellyo1979,-1.0
389628690,ShorelineCharli,0.32
4745253913,DLPaxt,0.34
47339383,RosenRitter,0.37
755707584896720897,zilla5085,0.36
22874752,goobergoober,0.37
3946780887,MomentMae,0.49
506855302,boomhauer88,0.15
383583763,sallytca,0.34
722121281315934208,Spravedliviy7,0.33
47806130,Bryan700,0.48
2565791769,BelgianTrumper,0.27
414329713,DAck_34,0.09
3246529033,FreakCountry16,0.45
2381707450,Tsmith508,0.42
940503344,empiredecline,0.37
513923943,AdamscharlesP,0.27
4851493023,2016DTS,0.42
181634028,RoyalsMLBChamps,0.09
3307496768,molonlabe72,-1.0
2290267526,menbearpig1,0.38
739161514599284736,Kate88358281,0.23
731592373038370817,IamFATDAD,0.28
340512594,NotGoingToHell,0.27
2393239022,MattTBeck,-1.0
1535717894,_JulianMontalvo,0.14
716872983080361986,froggowave,0.22
252124868,Itinara,0.25
701288723,OverOnTheRight,0.23
4727352599,EdUpton54,0.45
2444059646,Bhediya_,0.33
274613674,marytthomas,0.41
718978155327803392,Mutt1961,0.38
1978165356,Stredni_trida,0.34
590450497,KristinaCGrant,-1.0
788058554,dimitriyenteo,0.23
20558020,Dannaboo,0.26
780649087846658048,CommonSense213,0.22
768523651297775616,RevelationThre7,0.19
3061797379,CashBama,0.47
58466926,TrumpForBoston,0.34
745541136094093312,GreatDoofus,0.32
4786255520,donna_mosby,0.3
52576622,YnkyDodl,0.37
912583795,sustain05,0.41
289689943,SP4Z313,0.34
61236989,GideonHenry,0.44
2760044804,failure121110,0.39
2958201126,follysurfangel1,0.4
1925001980,MMLynch01,0.4
1508484296,VeilRising13EA,0.26
787089269437272064,RealJoeMirto,-1.0
14055791,MLMBlonde,0.35
1972334744,1920zebra,0.36
1275763346,KathyMatichak,0.19
586921591,jwrother,0.44
787343990626496512,Illhave2please,0.34
721472272742023168,jbluedot,0.19
1244896429,EWGF_Ryan,0.14
757041854126891008,Rivercasino7,0.31
768819871362588673,publicpatriot,0.23
16054602,NASCARNAC,0.34
769941491657547776,jyonko77,0.55
709907306255810560,TheMirror11,0.56
16963034,ladydwall,0.56
884877037,RikaB7,0.26
488706702,danojano,0.25
758274218337378304,joeblogsnews,0.29
776112384310071296,GrantFurey,-1.0
4591029915,KD100KD,0.5
2504981221,td21241,0.48
859893019,LS96952130,0.43
3049702774,CaneKeith,0.34
3316153363,JENicodemus,0.34
3106208237,LadyofFe,-1.0
137552604,therealbiostate,0.37
1093687140,MCastroWolf,0.49
325875562,LynnAkker,0.24
2418769008,UnitedIrishman,-1.0
783040259437101057,ShadowBoxer33,0.26
487840668,Paulmychael,0.25
727288086967656448,AMartin90341,-1.0
725108395783688192,matt_mcconkie,0.45
786171249823129600,georgiavalues,0.4
875801995,kippkipperly,0.33
126599757,CureHipHop,0.21
462167988,tonythereasonr,-1.0
786224810271600640,wakethefuuuup,0.33
2586506586,AlexHarritonov,0.41
705568732148531200,HMulligan40,0.34
3700121652,jsea226,0.32
33270656,jenilynn1001,-1.0
107502320,JoyChgo,0.45
792796887204192256,puertoricanjews,0.18
874879436,Vallissima,0.41
565188105,doubledittos,0.5
3945784187,JeffBales6,0.48
720378783996358656,RosemaryBucha17,0.48
2494734018,jkr3333,0.34
1944440994,Bobby9527,0.49
703317142696030208,Carter6972,0.3
708552860703678464,Melinda11117421,0.22
3612731472,IsaboSalem,0.43
1278440773,NoKingButJesus,0.64
2915648340,MyShieldsong,0.14
623683951,danielgalaxyxp,0.37
874752151,mks8864,0.58
14524566,yridea,0.25
757390775176921088,rarcraanroca,0.44
792618388136796160,luxetx,0.26
2164876369,RepStevenSmith,0.37
415224570,CarrieAMayes,0.16
18757886,SteveMotley,0.6
217456017,JackT94,-1.0
601076863,lybr3,0.38
2720895981,lassew87,0.41
36959190,HL1975,0.35
864927037,Destinbeach22,0.46
745681473416605696,Claudia4Trump,0.57
88296327,MatthewTwihard,0.35
176115868,donnaariner,0.29
139768199,hereistheanswer,0.34
28487370,mrjc1,0.22
2562236263,stevenmichael0,0.65
780807602489794560,Chicago_Land_,-1.0
317975293,Massimo_Masini,0.35
3271790814,GraggQuinton,0.44
88237533,jimjimzen,0.42
748351285703761920,_GravityFails,0.36
2349297128,Lake_girl11,0.34
1191654624,JamesGruzman,0.44
531244825,webb_carrie,0.36
233154866,mickym3333,0.51
2582736318,Tamaralynn212,0.35
21150859,COLLECTIBLEZITY,0.4
3378536763,OkoyeSamuel17,0.53
782079714592641024,RedHawk9999,0.39
4726269672,alexdostom,-1.0
940827752,critclthought,0.35
889801698,BleedCrimson15,-1.0
3535919123,UHaverbeck,0.36
796523629,bjdjtexbiz,0.45
711394650490314752,Murphy_Boii,0.32
507765274,niteowlmom3,0.26
1554450631,ScoutsPompiers,-1.0
3317439242,B1GD_8_,0.43
1161641778,Mrmerf,-1.0
768640002238451712,hirosan3k,0.33
55923746,holy_MMA,0.45
2262874359,dfalls1552,0.35
2716100047,FreedomChild3,0.46
3397533639,ArtoftheDealPAC,0.4
327815991,claychap,-1.0
261807710,Schraz8,0.26
2358466422,luisgonzalezup,0.31
27259780,dwightmeeks,0.26
2816884906,elenajunior1970,0.31
706407344733818880,nina_krakow,0.31
3033091670,AlongCameARat,0.17
992193380,riley909,0.51
27695678,Redheadedbird,0.43
515782631,DeadBuffaloBlog,0.28
