userID	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
48630780		0.35	0.18	0.41	0.41	0.49	0.37	0.55	0.28	
790750287287889920		0.26	0.2	0.32	0.2	0.38	0.36	0.43	0.23	
529832847		0.47	0.44	0.51	0.48	0.64	0.51	0.8	0.38	
4808501420		0.39	0.54	0.34	0.32	0.27	0.22	0.26	0.48	
293558725		0.21	0.42	0.3	0.22	0.37	0.27	0.17	0.31	
2938300815		0.686666666667	0.783886357497	0.793147133651	0.785371427089	0.94	0.9	0.787951843463	0.248282361804	
2358807008		0.33	0.12	0.25	0.16	0.32	0.39	0.31	0.27	
194521859		0.28	0.03	0.31	0.3	0.4	0.45	0.29	0.28	
223190592		0.24	0.07	0.36	0.14	0.2	0.18	0.15	0.35	
3409715445		0.43	0.32	0.42	0.58	0.43	0.2	0.49	0.51	
322748311		0.39	0.41	0.35	0.27	0.34	0.2	0.33	0.29	
17561562		0.43	0.42	0.53	0.34	0.44	0.28	0.39	0.44	
292122096		0.43	0.27	0.44	0.22	0.39	0.43	0.16	0.43	
792138253910573058		0.37	0.26	0.28	0.27	0.39	0.38	0.45	0.22	
474350662		0.51	0.37	0.52	0.23	0.56	0.59	0.38	0.37	
4779809419		0.41	0.13	0.36	0.27	0.39	0.11	0.28	0.4	
701612912		0.23	0.1	0.15	0.08	0.3	0.1	0.15	0.17	
764944052156375040		0.36	0.24	0.36	0.09	0.34	0.37	0.24	0.26	
2195314380		0.23	0.03	0.3	0.29	0.29	0.32	0.24	0.38	
503415347		0.5	0.51	0.51	0.36	0.54	0.6	0.41	0.46	
758964734091628544		0.5	0.25	0.61	0.24	0.27	0.27	0.22	0.46	
362678762		0.47	0.23	0.47	0.27	0.52	0.47	0.41	0.34	
751528100018741252		0.39	0.43	0.35	0.31	0.46	0.5	0.24	0.31	
3309757218		0.43	0.46	0.56	0.33	0.53	0.6	0.67	0.36	
271683341		0.23	0.29	0.34	0.23	0.26	0.32	0.59	0.33	
2831103692		0.39	0.19	0.39	0.5	0.43	0.39	0.36	0.37	
102207210		0.35	0.02	0.18	0.23	0.58	0.16	0.15	0.11	
784012530733740032		0.37	0.25	0.28	0.28	0.34	0.15	0.21	0.26	
2683249604		0.31	0.16	0.32	0.1	0.35	0.17	0.29	0.26	
3879759869		0.35	0.17	0.16	0.32	0.27	0.3	0.23	0.19	
525590041		0.54	0.37	0.57	0.69	0.52	0.54	0.59	0.53	
776607439307157504		0.4	0.48	0.53	0.41	0.52	0.5	0.51	0.6	
745751445547454464		0.35	0.14	0.41	0.2	0.38	0.26	0.14	0.31	
709964254414290944		0.62	0.66	0.37	0.880790820499	0.715	0.49	0.71	0.72	
1074412741		0.34	0.19	0.34	0.23	0.47	0.39	0.29	0.34	
1556088296		0.34	0.17	0.4	0.35	0.57	0.46	0.51	0.3	
1374960906		0.45	0.29	0.6	0.3	0.44	0.64	0.31	0.49	
3842388994		0.37	0.36	0.21	0.14	0.37	0.52	0.18	0.26	
117535239		0.25	0.16	0.36	0.22	0.4	0.21	0.28	0.19	
820222220		0.19	0.32	0.45	0.52	0.23	0.31	0.27	0.22	
239550784		0.38	0.24	0.53	0.4	0.45	0.48	0.34	0.38	
1575689569		0.57	0.68	0.54	0.5	0.32	0.19	0.05	0.55	
19220785		0.76	0.67	0.61	0.51	0.55	0.39	0.36	0.61	
338522469		0.14	0.09	0.17	0.38	0.34	0.42	0.51	0.19	
721077250137964544		0.61	0.67	0.57	0.48	0.51	0.62	0.57	0.67	
2312152717		0.48	0.38	0.26	0.42	0.48	0.2	0.05	0.39	
82391199		0.4	0.14	0.5	0.49	0.49	0.38	0.23	0.26	
301613161		0.26	0.25	0.3	0.12	0.503333333333	0.09	0.52	0.13	
1972125445		0.34	0.25	0.27	0.22	0.35	0.28	0.24	0.39	
792338918804815872		0.22	0.2	0.49	0.26	0.45	0.44	0.37	0.26	
548808008		0.23	0.07	0.12	0.09	0.33	0.19	0.28	0.14	
2691820789		0.35	0.26	0.36	0.38	0.24	0.26	0.3	0.31	
354454783		0.4	0.43	0.43	0.24	0.57	0.56	0.65	0.28	
772710043020038146		0.31	0.27	0.26	0.26	0.37	0.4	0.21	0.19	
4418474957		0.56	0.57	0.62	0.28	0.55	0.45	0.28	0.54	
754822052457041920		0.42	0.34	0.41	0.63	0.52	0.55	0.4	0.41	
344362966		0.52	0.36	0.58	0.16	0.54	0.48	0.56	0.45	
26347220		0.19	0.11	0.29	0.23	0.43	0.37	0.32	0.24	
2977572178		0.41	0.27	0.46	0.27	0.43	0.4	0.18	0.29	
2973318457		0.41	0.37	0.5	0.38	0.32	0.46	0.31	0.42	
765515454		0.4	0.15	0.2	0.47	0.43	0.21	0.36	0.28	
782556135354015744		0.42	0.24	0.26	0.19	0.39	0.43	0.27	0.29	
2759210288		0.28	0.14	0.19	0.3	0.43	0.31	0.5	0.23	
737882865057312768		0.33	0.43	0.45	0.05	0.36	0.39	0.56	0.27	
788048169011712000		0.27	0.14	0.19	0.21	0.33	0.31	0.25	0.3	
114558569		0.49	0.5	0.11	0.32	0.47	0.16	0.43	0.4	
831864182		0.47	0.63	0.61	0.22	0.55	0.62	0.67	0.52	
856546831		0.46	0.35	0.45	0.22	0.35	0.344	0.3	0.36	
560369534		0.28	0.27	0.37	0.21	0.41	0.46	0.36	0.27	
569589460		0.36	0.01	0.22	0.23	0.48	0.15	0.15	0.16	
781730142833913856		0.25	0.01	0.07	0.19	0.24	0.12	0.07	0.13	
18929394		0.45	0.25	0.37	0.6	0.5	0.45	0.53	0.4	
175985856		0.33	0.24	0.41	0.34	0.43	0.53	0.33	0.33	
564648532		0.33	0.07	0.46	0.34	0.38	0.37	0.38	0.28	
826147004		0.29	0.12	0.3	0.33	0.28	0.33	0.12	0.26	
36345774		0.35	0.13	0.19	0.2	0.43	0.31	0.13	0.23	
3078628110		0.35	0.25	0.37	0.3	0.39	0.27	0.39	0.26	
105392971		0.26	0.12	0.2	0.31	0.4	0.42	0.26	0.19	
357279184		0.34	0.14	0.32	0.47	0.44	0.21	0.08	0.33	
3704509697		0.32	0.21	0.23	0.53	0.33	0.23	0.08	0.39	
858979844		0.53	0.32	0.47	0.49	0.46	0.44	0.42	0.44	
45754706		0.16	0.09	0.32	0.15	0.31	0.39	0.21	0.1	
207638718		0.28	0.03	0.2	0.2	0.44	0.25	0.2	0.2	
2898721132		0.27	0.12	0.42	0.29	0.33	0.31	0.39	0.33	
229732637		0.33	0.19	0.27	0.38	0.39	0.31	0.09	0.28	
264933553		0.32	0.12	0.32	0.54	0.54	0.17	0.28	0.32	
16167937		0.2	0.12	0.16	0.22	0.26	0.18	0.15	0.11	
793964893800112128		0.53	0.73	0.49	0.38	0.54	0.58	0.61	0.57	
19863261		0.49	0.53	0.31	0.16	0.45	0.23	0.22	0.51	
861868506		0.57	0.24	0.73	0.62	0.54	0.46	0.4	0.54	
107306194		0.62	0.57	0.11	0.56	0.49	0.42	0.14	0.36	
1861366094		0.31	0.1	0.18	0.24	0.33	0.42	0.45	0.23	
216566501		0.16	0.07	0.32	0.2	0.32	0.16	0.4	0.19	
736926810277974016		0.32	0.58	0.4	0.25	0.23	0.27	0.46	0.42	
771941533054541824		0.38	0.19	0.31	0.68	0.4	0.39	0.34	0.36	
706884805439332353		0.26	0.18	0.49	0.19	0.39	0.32	0.53	0.33	
703098386090569728		0.3	0.22	0.38	0.21	0.41	0.27	0.3	0.28	
63868668		0.16	0.1	0.26	0.24	0.32	0.29	0.4	0.27	
2937726345		0.36	0.15	0.5	0.11	0.42	0.44	0.4	0.3	
2535958714		0.46	0.27	0.29	0.45	0.43	0.24	0.35	0.35	
1034339780		0.39	0.1	0.29	0.46	0.5	0.2	0.15	0.32	
736412037111156738		0.34	0.33	0.27	0.45	0.4	0.45	0.51	0.33	
721329892		0.33	0.56	0.26	0.38	0.45	0.5	0.48	0.24	
4576799353		0.39	0.34	0.47	0.31	0.48	0.45	0.41	0.44	
3679902917		0.2	0.1	0.16	0.16	0.31	0.37	0.18	0.16	
2250013218		0.4	0.18	0.54	0.35	0.28	0.51	0.15	0.36	
703421609630105600		0.24	0.18	0.32	0.23	0.25	0.18	0.08	0.32	
133487623		0.38	0.35	0.31	0.17	0.58	0.42	0.27	0.36	
749093840846401537		0.42	0.31	0.33	0.27	0.58	0.33	0.5	0.35	
4352789593		0.36	0.15	0.34	0.43	0.43	0.41	0.21	0.34	
400294294		0.39	0.37	0.42	0.54	0.51	0.45	0.47	0.32	
76081768		0.41	0.33	0.28	0.2	0.5	0.53	0.26	0.33	
2490929974		0.38	0.21	0.3	0.58	0.46	0.22	0.3	0.25	
166855904		0.52	0.33	0.62	0.29	0.52	0.57	0.47	0.57	
164517537		0.39	0.27	0.29	0.4	0.42	0.5	0.51	0.44	
783530054865285120		0.5	0.57	0.53	0.18	0.53	0.69	0.69	0.33	
53976892		0.22	0.08	0.15	0.13	0.38	0.18	0.17	0.16	
739944055241617408		0.31	0.28	0.43	0.3	0.4	0.53	0.44	0.32	
891114542		0.59	0.46	0.59	0.54	0.49	0.44	0.32	0.56	
401160964		0.22	0.09	0.32	0.34	0.33	0.5	0.1	0.16	
627865229		0.25	0.23	0.33	0.14	0.41	0.23	0.27	0.34	
193438058		0.13	0.27	0.21	0.3	0.18	0.18	0.38	0.19	
36199946		0.13	0.09	0.19	0.23	0.29	0.14	0.08	0.05	
784815159537573888		0.25	0.11	0.34	0.25	0.47	0.44	0.31	0.25	
375669510		0.58	0.6	0.66	0.54	0.37	0.35	0.3	0.58	
763830071727493120		0.35	0.38	0.23	0.33	0.24	0.16	0.27	0.21	
3271901318		0.51	0.36	0.34	0.18	0.43	0.35	0.22	0.45	
789119558237970432		0.26	0.09	0.4	0.18	0.44	0.33	0.42	0.28	
777229123752124416		0.24	0.59	0.49	0.28	0.43	0.35	0.47	0.33	
773611653686554624		0.3	0.1	0.34	0.27	0.42	0.17	0.07	0.35	
15240212		0.54	0.31	0.39	0.38	0.43	0.34	0.33	0.44	
27711663		0.46	0.19	0.52	0.44	0.35	0.33	0.2	0.44	
16642248		0.14	0.1	0.36	0.35	0.4	0.15	0.1	0.18	
2187093872		0.48	0.42	0.54	0.61	0.44	0.44	0.69	0.58	
747107404714807300		0.41	0.32	0.3	0.52	0.53	0.34	0.37	0.32	
1069185114		0.24	0.23	0.31	0.47	0.49	0.32	0.18	0.34	
616474101		0.32	0.28	0.31	0.34	0.36	0.26	0.28	0.4	
21282485		0.29	0.11	0.33	0.32	0.54	0.13	0.46	0.23	
762496792139227138		0.51	0.31	0.59	0.51	0.37	0.41	0.12	0.48	
102774350		0.3	0.15	0.27	0.23	0.48	0.33	0.28	0.39	
456636296		0.36	0.27	0.28	0.19	0.47	0.56	0.46	0.25	
788532739288866820		0.41	0.36	0.38	0.43	0.45	0.48	0.27	0.41	
3106534151		0.49	0.62	0.49	0.21	0.38	0.15	0.09	0.44	
762802687544963072		0.32	0.16	0.15	0.31	0.38	0.32	0.17	0.33	
626226959		0.21	0.02	0.16	0.08	0.39	0.46	0.2	0.1	
16673839		0.3	0.35	0.33	0.13	0.42	0.22	0.17	0.43	
29659976		0.33	0.18	0.32	0.21	0.4	0.39	0.36	0.28	
118834118		0.19	0.06	0.24	0.21	0.44	0.2	0.11	0.14	
60730035		0.33	0.2	0.32	0.42	0.46	0.19	0.33	0.21	
746757128937963520		0.39	0.48	0.44	0.26	0.45	0.35	0.36	0.44	
3157366293		0.43	0.65	0.39	0.3	0.55	0.67	0.6	0.44	
4850713339		0.41	0.39	0.36	0.23	0.53	0.54	0.47	0.34	
3229126693		0.22	0.37	0.23	0.31	0.33	0.29	0.58	0.27	
730071313080066052		0.37	0.34	0.43	0.24	0.55	0.56	0.5	0.34	
14781809		0.34	0.07	0.6	0.3	0.32	0.27	0.52	0.47	
334189096		0.2	0.09	0.27	0.09	0.48	0.36	0.15	0.23	
592853778		0.18	0.36	0.28	0.26	0.55	0.51	0.26	0.15	
328288868		0.21	0.04	0.14	0.11	0.44	0.04	0.17	0.11	
1012874467		0.56	0.43	0.59	0.44	0.66	0.51	0.43	0.57	
295966275		0.39	0.24	0.28	0.34	0.34	0.46	0.27	0.3	
1697320214		0.49	0.37	0.44	0.23	0.39	0.5	0.57	0.46	
4861429539		0.37	0.08	0.27	0.37	0.24	0.14	0.37	0.32	
2832448102		0.36	0.14	0.17	0.21	0.45	0.33	0.28	0.25	
62907620		0.39	0.29	0.3	0.36	0.47	0.46	0.2	0.23	
490975532		0.53	0.37	0.58	0.27	0.55	0.51	0.44	0.45	
705196121363243008		0.34	0.03	0.38	0.34	0.55	0.47	0.25	0.32	
299934350		0.44	0.5	0.45	0.64	0.58	0.58	0.41	0.31	
46252269		0.3	0.03	0.18	0.33	0.44	0.37	0.08	0.2	
388664756		0.12	0.0	0.11	0.14	0.34	0.38	0.08	0.06	
47253057		0.33	0.32	0.27	0.41	0.4	0.19	0.17	0.28	
765962124837486592		0.5	0.46	0.7	0.56	0.44	0.39	0.67	0.56	
538610388		0.43	0.11	0.28	0.44	0.52	0.54	0.16	0.35	
38036708		0.49	0.4	0.38	0.35	0.51	0.36	0.41	0.45	
772913099879829505		0.27	0.38	0.36	0.45	0.35	0.19	0.12	0.35	
2947709045		0.16	0.1	0.26	0.21	0.25	0.24	0.2	0.19	
2565303782		0.31	0.32	0.31	0.37	0.37	0.4	0.33	0.38	
260288666		0.27	0.2	0.24	0.29	0.38	0.34	0.17	0.24	
1210332085		0.25	0.2	0.41	0.2	0.47	0.29	0.26	0.32	
227438020		0.35	0.17	0.31	0.39	0.48	0.17	0.24	0.22	
4436418312		0.3	0.07	0.3	0.36	0.4	0.21	0.23	0.22	
1668927602		0.33	0.2	0.3	0.11	0.23	0.24	0.21	0.24	
404795493		0.39	0.15	0.24	0.13	0.47	0.22	0.14	0.38	
2555209885		0.57	0.66	0.41	0.37	0.6	0.37	0.57	0.51	
771173751274614784		0.31	0.26	0.57	0.55	0.35	0.54	0.04	0.32	
754684431340822529		0.33	0.22	0.33	0.15	0.45	0.16	0.11	0.29	
3243442856		0.36	0.14	0.21	0.35	0.29	0.22	0.3	0.35	
12365662		0.35	0.21	0.49	0.52	0.37	0.49	0.34	0.41	
2204552464		0.35	0.3	0.3	0.49	0.41	0.41	0.36	0.23	
716800970		0.33	0.23	0.35	0.46	0.5	0.38	0.25	0.3	
779334883399172096		0.29	0.36	0.32	0.19	0.31	0.39	0.43	0.25	
2282563584		0.3	0.16	0.31	0.26	0.46	0.49	0.33	0.2	
733720294767005696		0.41	0.57	0.43	0.34	0.61	0.3	0.53	0.32	
706996318854582273		0.33	0.25	0.36	0.33	0.53	0.49	0.53	0.23	
151622477		0.24	0.07	0.31	0.45	0.31	0.16	0.08	0.22	
963230432		0.32	0.01	0.27	0.28	0.44	0.14	0.12	0.16	
3343099876		0.34	0.03	0.29	0.3	0.33	0.29	0.33	0.24	
725084393488801792		0.27	0.19	0.36	0.53	0.18	0.21	0.37	0.35	
740358125392408576		0.4	0.28	0.43	0.47	0.33	0.21	0.18	0.29	
865060466		0.61	0.51	0.48	0.44	0.47	0.35	0.46	0.59	
786265679444008960		0.47	0.56	0.47	0.29	0.48	0.49	0.668858380995	0.31	
532774287		0.21	0.25	0.38	0.49	0.33	0.5	0.27	0.34	
719174272866869248		0.5	0.25	0.38	0.21	0.31	0.27	0.25	0.43	
143888401		0.3	0.39	0.23	0.2	0.44	0.16	0.27	0.35	
721563885325553665		0.34	0.22	0.42	0.46	0.45	0.36	0.19	0.35	
3335841262		0.46	0.36	0.45	0.48	0.48	0.44	0.36	0.38	
756926979300028416		0.34	0.38	0.31	0.28	0.42	0.38	0.46	0.3	
3248691361		0.29	0.04	0.22	0.07	0.43	0.22	0.1	0.23	
2257281216		0.24	0.26	0.25	0.16	0.15	0.28	0.27	0.29	
785340089672937472		0.45	0.65	0.37	0.23	0.46	0.55	0.53	0.32	
124069045		0.34	0.05	0.21	0.24	0.29	0.05	0.05	0.26	
898927489		0.3	0.12	0.24	0.35	0.42	0.18	0.26	0.19	
787509697129484290		0.24	0.33	0.17	0.27	0.37	0.31	0.2	0.27	
2498276575		0.39	0.0	0.37	0.12	0.46	0.25	0.24	0.29	
786257795540590592		0.28	0.2	0.38	0.26	0.37	0.26	0.24	0.19	
4446582923		0.34	0.2	0.35	0.25	0.39	0.3	0.41	0.39	
736295079883608064		0.26	0.19	0.13	0.37	0.34	0.26	0.21	0.11	
1177491776		0.38	0.15	0.35	0.25	0.43	0.39	0.39	0.19	
737693116753453056		0.29	0.07	0.13	0.23	0.46	0.22	0.33	0.23	
2696722646		0.17	0.08	0.15	0.17	0.14	0.09	0.12	0.27	
2196378314		0.31	0.18	0.16	0.44	0.44	0.13	0.19	0.3	
459547879		0.26	0.05	0.2	0.19	0.45	0.29	0.13	0.09	
1225778983		0.45	0.32	0.52	0.55	0.48	0.38	0.39	0.45	
176830279		0.42	0.4	0.38	0.38	0.39	0.3	0.39	0.41	
723758122729250817		0.31	0.45	0.34	0.26	0.448333333333	0.27	0.36	0.44	
371784724		0.19	0.09	0.21	0.04	0.27	0.27	0.11	0.14	
785861752361746433		0.26	0.19	0.31	0.33	0.35	0.29	0.21	0.2	
263829580		0.26	0.14	0.28	0.21	0.34	0.47	0.09	0.3	
2773608767		0.26	0.27	0.33	0.23	0.4	0.31	0.29	0.34	
2396849574		0.28	0.01	0.24	0.28	0.29	0.27	0.28	0.29	
633067163		0.41	0.08	0.32	0.16	0.42	0.07	0.14	0.2	
4866734218		0.11	0.23	0.26	0.12	0.33	0.3	0.23	0.21	
1547422484		0.21	0.05	0.22	0.26	0.4	0.29	0.28	0.16	
3302298378		0.25	0.27	0.32	0.3	0.39	0.43	0.21	0.25	
110889836		0.3	0.05	0.43	0.27	0.29	0.08	0.09	0.29	
560768567		0.53	0.23	0.56	0.34	0.52	0.44	0.52	0.49	
789949481865338880		0.28	0.06	0.38	0.15	0.33	0.36	0.45	0.15	
935859349		0.48	0.41	0.58	0.73	0.64	0.61	0.87	0.59	
2194393136		0.37	0.23	0.26	0.41	0.5	0.24	0.13	0.28	
1955193708		0.17	0.18	0.3	0.1	0.29	0.33	0.23	0.19	
111041751		0.22	0.32	0.31	0.12	0.37	0.34	0.3	0.22	
238304539		0.58	0.27	0.59	0.58	0.45	0.44	0.09	0.48	
4407185385		0.4	0.19	0.23	0.29	0.4	0.5	0.19	0.4	
894415938		0.33	0.3	0.27	0.59	0.44	0.47	0.26	0.33	
40442268		0.55	0.56	0.57	0.38	0.77	0.73	0.62	0.39	
2375154235		0.42	0.28	0.06	0.35	0.4	0.17	0.17	0.26	
500805074		0.38	0.14	0.28	0.36	0.45	0.37	0.25	0.27	
2612892450		0.4	0.15	0.31	0.08	0.17	0.1	0.1	0.39	
26277130		0.41	0.51	0.5	0.17	0.32	0.23	0.27	0.51	
938069005		0.36	0.08	0.23	0.32	0.34	0.23	0.14	0.21	
2167515762		0.24	0.03	0.25	0.14	0.4	0.35	0.21	0.24	
128387870		0.27	0.01	0.11	0.08	0.28	0.09	0.18	0.15	
2888841418		0.34	0.2	0.43	0.5	0.42	0.42	0.26	0.31	
58708159		0.51	0.51	0.64	0.4	0.39	0.35	0.5	0.53	
460235751		0.17	0.05	0.23	0.14	0.32	0.11	0.07	0.18	
49072873		0.32	0.39	0.24	0.24	0.35	0.26	0.36	0.31	
3234067815		0.4	0.23	0.43	0.49	0.46	0.31	0.52	0.35	
3084601743		0.45	0.48	0.27	0.13	0.41	0.47	0.31	0.31	
32058824		0.24	0.05	0.35	0.29	0.39	0.25	0.26	0.24	
3872372007		0.3	0.03	0.16	0.3	0.35	0.18	0.34	0.32	
885741559		0.46	0.26	0.45	0.17	0.48	0.29	0.39	0.37	
71686583		0.3	0.14	0.31	0.46	0.38	0.19	0.47	0.31	
42769580		0.3	0.33	0.42	0.6	0.43	0.42	0.14	0.45	
261034989		0.26	0.24	0.35	0.04	0.41	0.26	0.19	0.21	
95936044		0.42	0.58	0.49	0.29	0.52	0.5	0.55	0.5	
704221325779292160		0.43	0.41	0.3	0.77	0.66	0.79	0.48	0.42	
705369369		0.15	0.1	0.07	0.16	0.19	0.21	0.11	0.19	
506679272		0.36	0.2	0.2	0.23	0.39	0.32	0.23	0.25	
3139101181		0.16	0.02	0.25	0.21	0.47	0.28	0.16	0.34	
2785682992		0.39	0.3	0.37	0.58	0.36	0.44	0.39	0.43	
710636057130209281		0.55	0.56	0.43	0.41	0.43	0.67	0.87	0.41	
3328134453		0.69	0.42	0.65	0.328571428571	0.65	0.57	0.47	0.55	
169315871		0.51	0.43	0.43	0.35	0.54	0.58	0.61	0.34	
1975510315		0.3	0.02	0.29	0.27	0.36	0.53	0.08	0.27	
513825629		0.23	0.18	0.29	0.15	0.44	0.26	0.3	0.2	
4718357002		0.48	0.41	0.68	0.51	0.56	0.46	0.52	0.43	
4267479933		0.46	0.37	0.62	0.38	0.41	0.58	0.49	0.46	
601019861		0.36	0.19	0.24	0.38	0.42	0.4	0.29	0.24	
2678662218		0.34	0.07	0.28	0.45	0.42	0.3	0.27	0.29	
2298743826		0.48	0.64	0.43	0.1	0.28	0.24	0.27	0.5	
31296988		0.25	0.23	0.31	0.33	0.42	0.34	0.18	0.24	
763789779775344640		0.51	0.61	0.37	0.42	0.32	0.23	0.05	0.54	
2663516173		0.29	0.06	0.2	0.18	0.28	0.37	0.25	0.29	
716343331		0.17	0.09	0.2	0.11	0.17	0.04	0.08	0.14	
21112972		0.51	0.55	0.49	0.27	0.48	0.51	0.55	0.35	
3522274402		0.41	0.35	0.34	0.19	0.54	0.41	0.15	0.35	
205371115		0.42	0.17	0.33	0.42	0.45	0.47	0.24	0.22	
17980523		0.37	0.5	0.42	0.42	0.31	0.16	0.09	0.37	
2575669503		0.4	0.22	0.44	0.66	0.57	0.48	0.28	0.34	
771016020832256000		0.15	0.14	0.21	0.24	0.37	0.29	0.37	0.22	
1420739510		0.38	0.28	0.33	0.42	0.44	0.36	0.13	0.39	
74144130		0.33	0.57	0.2	0.24	0.26	0.4	0.1	0.36	
22222653		0.23	0.14	0.36	0.28	0.42	0.49	0.1	0.21	
4881175059		0.25	0.08	0.12	0.13	0.32	0.17	0.07	0.16	
1595145768		0.25	0.23	0.14	0.66	0.29	0.29	0.14	0.26	
129949447		0.42	0.23	0.32	0.6	0.32	0.42	0.09	0.24	
27600105		0.35	0.08	0.44	0.35	0.66	0.18	0.22	0.2	
791506470550564864		0.38	0.52	0.4	0.49	0.56	0.5	0.31	0.46	
75424399		0.25	0.1	0.15	0.33	0.23	0.2	0.07	0.17	
2276677269		0.27	0.3	0.38	0.76	0.38	0.38	0.1	0.26	
759557216345088001		0.34	0.25	0.3	0.22	0.45	0.36	0.19	0.21	
426713083		0.15	0.06	0.29	0.25	0.39	0.33	0.19	0.18	
3167792656		0.28	0.04	0.26	0.17	0.47	0.62	0.42	0.12	
49122922		0.23	0.09	0.32	0.4	0.42	0.13	0.24	0.31	
567345835		0.28	0.05	0.01	0.08	0.34	0.07	0.28	0.05	
860982284		0.36	0.11	0.42	0.25	0.37	0.34	0.4	0.27	
2914769599		0.29	0.22	0.37	0.28	0.39	0.41	0.42	0.33	
723929245710475264		0.24	0.0	0.32	0.27	0.46	0.39	0.25	0.28	
772204212201590789		0.36	0.16	0.42	0.19	0.26	0.42	0.37	0.29	
490390041		0.17	0.04	0.16	0.12	0.29	0.31	0.18	0.1	
2856154741		0.35	0.68	0.26	0.32	0.44	0.55	0.27	0.35	
2250377624		0.44	0.21	0.31	0.26	0.49	0.45	0.43	0.31	
3178468062		0.53	0.29	0.48	0.5	0.32	0.21	0.52	0.5	
991330362		0.3	0.21	0.22	0.32	0.47	0.21	0.2	0.28	
409216221		0.27	0.09	0.43	0.18	0.33	0.41	0.46	0.25	
75903151		0.31	0.14	0.38	0.16	0.27	0.21	0.21	0.26	
778405336147374080		0.44	0.35	0.39	0.27	0.34	0.4	0.38	0.49	
546305533		0.34	0.11	0.54	0.27	0.65	0.9	0.65	0.31	
50948136		0.35	0.31	0.38	0.54	0.45	0.45	0.43	0.36	
1481460001		0.27	0.27	0.37	0.29	0.34	0.3	0.49	0.18	
341920476		0.33	0.15	0.13	0.25	0.47	0.21	0.03	0.12	
4767259425		0.43	0.48	0.36	0.31	0.5	0.45	0.49	0.33	
332984833		0.45	0.45	0.55	0.2	0.43	0.52	0.74	0.37	
526645243		0.25	0.18	0.41	0.27	0.49	0.37	0.42	0.28	
4013745015		0.39	0.31	0.27	0.37	0.33	0.32	0.33	0.24	
730056968237371398		0.39	0.14	0.26	0.34	0.43	0.29	0.42	0.32	
2194758303		0.56	0.37	0.66	0.45	0.52	0.57	0.42	0.39	
2604272648		0.43	0.4	0.32	0.49	0.34	0.29	0.27	0.29	
518347621		0.29	0.08	0.34	0.16	0.3	0.17	0.11	0.26	
4660393213		0.32	0.19	0.32	0.24	0.21	0.38	0.15	0.25	
742822332427735041		0.57	0.55	0.47	0.4	0.54	0.54	0.45	0.65	
2695613960		0.24	0.08	0.31	0.19	0.43	0.278333333333	0.12	0.29	
18437547		0.45	0.54	0.32	0.39	0.44	0.45	0.37	0.48	
781360633933500416		0.39	0.48	0.793147133651	0.54	0.64	0.78	0.85	0.41	
1924904623		0.57	0.38	0.53	0.53	0.36	0.48	0.43	0.58	
114345786		0.37	0.1	0.26	0.29	0.51	0.26	0.2	0.28	
2987881349		0.26	0.24	0.16	0.09	0.18	0.15	0.17	0.2	
15467680		0.39	0.24	0.27	0.29	0.42	0.29	0.14	0.24	
350261087		0.38	0.29	0.29	0.47	0.49	0.14	0.1	0.21	
49941653		0.38	0.26	0.29	0.26	0.45	0.44	0.23	0.45	
15502432		0.44	0.24	0.27	0.39	0.36	0.21	0.21	0.24	
29611208		0.21	0.19	0.24	0.26	0.31	0.33	0.36	0.26	
115128109		0.2	0.39	0.19	0.22	0.41	0.71	0.39	0.24	
1164139794		0.36	0.47	0.64	0.42	0.59	0.51	0.35	0.47	
425181608		0.35	0.31	0.28	0.16	0.37	0.35	0.25	0.32	
4553731353		0.67	0.41	0.59	0.62	0.4	0.14	0.31	0.55	
3311261335		0.34	0.12	0.19	0.11	0.37	0.08	0.17	0.22	
885733974		0.43	0.76	0.37	0.37	0.34	0.27	0.09	0.49	
1921894028		0.37	0.46	0.38	0.53	0.59	0.55	0.4	0.39	
710634281731809280		0.42	0.46	0.3	0.47	0.59	0.56	0.18	0.48	
728710508019253248		0.24	0.23	0.23	0.58	0.5	0.31	0.31	0.29	
359703527		0.14	0.01	0.22	0.13	0.38	0.12	0.13	0.07	
500364973		0.24	0.14	0.2	0.35	0.43	0.28	0.44	0.37	
788934526005149696		0.25	0.05	0.29	0.13	0.3	0.23	0.33	0.31	
3366943366		0.31	0.06	0.27	0.24	0.4	0.35	0.06	0.25	
792620006		0.31	0.13	0.46	0.17	0.38	0.4	0.33	0.31	
545510456		0.52	0.4	0.61	0.59	0.5	0.53	0.47	0.51	
749703015355953152		0.35	0.25	0.37	0.61	0.47	0.35	0.4	0.35	
2691301089		0.3	0.25	0.47	0.45	0.42	0.48	0.45	0.35	
458542982		0.28	0.08	0.22	0.35	0.29	0.37	0.33	0.32	
817905692		0.36	0.1	0.3	0.45	0.44	0.23	0.27	0.31	
537563949		0.36	0.07	0.11	0.14	0.44	0.4	0.16	0.2	
3075712116		0.31	0.3	0.28	0.16	0.39	0.24	0.17	0.25	
214119314		0.25	0.03	0.28	0.22	0.25	0.23	0.14	0.2	
3225642185		0.39	0.15	0.19	0.16	0.36	0.32	0.25	0.24	
480992011		0.34	0.4	0.29	0.53	0.43	0.41	0.42	0.31	
34791275		0.22	0.05	0.12	0.15	0.3	0.05	0.21	0.15	
